supplier_article;supplier_name;price;site_sku;notes
1517;"Сетчатый экономайзер L-700 мм";210.60;;
1518;"Дверь чугунная с рамкой 320х450";546.00;;
1519;"Дверь чугунная с рамкой 440х490";787.80;;
1520;"Жаростойкое стекло 185х147 мм (ДТ-3)";78.00;;
1521;"Жаростойкое стекло 245x173 мм (Берёзка 200)";109.20;;
1522;"Жаростойкое стекло 215x118 мм (Bulik)";105.30;;
1523;"Жаростойкое стекло 230х270 мм (Фаворит 15, Викинг 15, Воевода 20)";167.70;;
1524;"Жаростойкое стекло 330х330 мм (Фаворит 24, Викинг 24)";265.20;;
1525;"Жаростойкое стекло 465х335 мм (Флагман NEW)";378.30;;
1556;"Жаростойкое стекло 420х285 мм (Флагман 15,18,20 старого образца)";292.50;;
1526;"Жаростойкое стекло 490х325 мм (Флагман 24,35)";397.80;;
1536;"Жаростойкое стекло Verona 18/26 фасадное 400х400";386.10;;
1537;"Жаростойкое стекло Verona 26 заднее 177х206";89.70;;
1538;"Жаростойкое стекло Verona 18 заднее 180х172";78.00;;
1539;"Жаростойкое стекло Hors 6 перед 450х290";319.80;;
1540;"Жаростойкое стекло Hors 6 бок 450х268";296.40;;
1541;"Жаростойкое стекло Hors 9/10 перед 564х362";495.30;;
1542;"Жаростойкое стекло Hors 9/10 бок 564х300";409.50;;
1543;"Жаростойкое стекло Hors 13 перед 618х363";542.10;;
1544;"Жаростойкое стекло Hors 13 бок 618х330";495.30;;
1545;"Жаростойкое стекло Magma 8 перед 350х230";198.90;;
1546;"Жаростойкое стекло Magma 8 бок 335х120";101.40;;
1527;"Увеличение топочного выноса до 300 мм для всех моделей печей";167.70;;
2200;"Дымоходная стартовая труба D115, 1 метр сталь толщина 3,5 мм";191.10;;
2201;"Дымоходная стартовая труба D115, 0,7 метра сталь толщина 3,5 мм";144.30;;
2202;"Дымоходная стартовая труба D115, 0,5 метра сталь толщина 3,5 мм";105.30;;
2203;"Дымоходная стартовая труба D115, 0,25 метра сталь толщина 3,5 мм";62.40;;
2204;"Дымоходная стартовая труба D130, 1 метр сталь толщина 3,5 мм";206.70;;
2205;"Дымоходная стартовая труба D130, 0,7 метра сталь толщина 3,5 мм";167.70;;
2206;"Дымоходная стартовая труба D130, 0,5 метра сталь толщина 3,5 мм";120.90;;
2207;"Дымоходная стартовая труба D130, 0,25 метра сталь толщина 3,5 мм";70.20;;
2208;"Дымоходная стартовая труба с шибером D115, 1 метр сталь толщина 3,5 мм";226.20;;
2209;"Дымоходная стартовая труба с шибером D115, 0,7 метра сталь толщина 3,5 мм";198.90;;
2210;"Дымоходная стартовая труба с шибером D115, 0,5 метра сталь толщина 3,5 мм";144.30;;
2211;"Дымоходная стартовая труба с шибером D115, 0,25 метра сталь толщина 3,5 мм";101.40;;
2212;"Дымоходная стартовая труба с шибером D130, 1 метр сталь толщина 3,5 мм";245.70;;
2213;"Дымоходная стартовая труба с шибером D130, 0,7 метра сталь толщина 3,5 мм";222.30;;
2214;"Дымоходная стартовая труба с шибером D130, 0,5 метра сталь толщина 3,5 мм";159.90;;
2215;"Дымоходная стартовая труба с шибером D130, 0,25 метра сталь толщина 3,5 мм";109.20;;
